"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"54","Disney Silly Symphonies The Skeleton Dance Vintage Logo T-Shirt","http://www.amazon.com//dp/B0D8JWPG5T","Visit the Disney Store","1","211","$22.99","Clothing, Shoes &amp; Jewelry","99,624","17","$391","97 ","4.7","-"
"55","Pokemon Unisex Adult Pikachu Pokeball Pattern T-Shirt, Black, Small","http://www.amazon.com//dp/B0CB1T3K4W","Visit the Pokemon Store","1","31","$22.99","Clothing, Shoes &amp; Jewelry","123,256","17","$391","59 ","4.9","-"
"57","Disney Robin Hood Oo-De-Lally Iconic Quote Chest Text Logo T-Shirt","http://www.amazon.com//dp/B0D6WRY5M2","Visit the Disney Store","1","254","$22.99","Clothing, Shoes &amp; Jewelry","215,248","16","$368","12 ","4.4","-"
"58","Disney A Goofy Movie Powerline Stand Out World Tour '95 T-Shirt","http://www.amazon.com//dp/B08HTLZQKR","Visit the Disney Store","1","83","$22.99","Clothing, Shoes &amp; Jewelry","138,439","16","$368","294 ","4.7","-"
"59","Disney Lilo &amp; Stitch Floral Stitch Coconut Portrait Short Sleeve T-Shirt","http://www.amazon.com//dp/B08697J23F","Visit the Disney Store","1","112","$22.99","Clothing, Shoes &amp; Jewelry","115,205","17","$391","532 ","4.7","-"
"60","Disney Channel Bunk'd Camp Kikiwaka T-Shirt","http://www.amazon.com//dp/B07Y62V7WZ","Visit the Disney Store","1","629","$22.99","Clothing, Shoes &amp; Jewelry","203,600","16","$368","729 ","4.8","-"
"61","Wicked Pink And Green Logo T-Shirt","http://www.amazon.com//dp/B0DHYMNGVV","Visit the wicked Store","1","210","$22.99","Clothing, Shoes &amp; Jewelry","77,861","18","$414","216 ","4.4","-"
"62","Disney Stitch Retro ’90s Couples Matching I’m Her Stitch T-Shirt","http://www.amazon.com//dp/B0DHHZRSHS","Visit the Disney Store","1","509","$22.99","Clothing, Shoes &amp; Jewelry","118,172","17","$391","39 ","4.6","-"
"63","Life is Good Women's Crusher Tee, Short Sleeve Cotton Graphic T-Shirts, Watercolor Daisy Birds","http://www.amazon.com//dp/B08WGB51XF","Visit the Life is Good Store","1","1","$29.50","Clothing, Shoes &amp; Jewelry","19,473","37","$1,092","1,156 ","4.6","-"
"64","Disney Mickey And Friends Daisy &amp; Minnie Fashion Short Sleeve T-Shirt","http://www.amazon.com//dp/B08P67C911","Visit the Disney Store","1","308","$22.99","Clothing, Shoes &amp; Jewelry","62,368","19","$437","2,129 ","4.5","-"
"65","Disney Mickey Mouse Icy Cool Paint Drip T-Shirt","http://www.amazon.com//dp/B08CSM5HRN","Visit the Disney Store","1","583","$22.99","Clothing, Shoes &amp; Jewelry","128,255","17","$391","129 ","4.6","-"
"66","Minecraft 4th Of July Creeper Boom American Colors T-Shirt","http://www.amazon.com//dp/B0BS4SPVNC","Brand: Minecraft","1","164","$22.99","Clothing, Shoes &amp; Jewelry","75,189","18","$414","15 ","5.0","-"
"67","Disney The Lion King Pride Land Characters Group Shot T-Shirt","http://www.amazon.com//dp/B07KRQRKMZ","Visit the Disney Store","1","260","$22.99","Clothing, Shoes &amp; Jewelry","161,878","16","$368","416 ","4.6","-"
"68","Disney Pixar Cars Lightning McQueen Palm Tree Sunset T-Shirt","http://www.amazon.com//dp/B083R2HQH3","Visit the Disney Store","1","103","$22.99","Clothing, Shoes &amp; Jewelry","111,922","17","$391","235 ","4.8","-"
"69","Disney Mickey Mouse Americana Ears shape T-Shirt","http://www.amazon.com//dp/B07DR7258X","Visit the Disney Store","1","190","$22.99","Clothing, Shoes &amp; Jewelry","65,549","19","$437","1,358 ","4.7","-"
"70","Disney Lilo &amp; Stitch I Was Left Unsupervised Retro Stripes T-Shirt","http://www.amazon.com//dp/B0DPJG6SBR","Visit the Disney Store","1","141","$22.99","Clothing, Shoes &amp; Jewelry","158,617","16","$368",,"5.0","-"
"71","Disney Mickey Mouse Thumbs Up Best Papa Ever Father’s Day T-Shirt","http://www.amazon.com//dp/B0CS4VLNR8","Visit the Disney Store","1","584","$22.99","Clothing, Shoes &amp; Jewelry","110,717","17","$391","94 ","4.8","-"
"72","Disney Stitch Retro ’90s Couples Matching I’m His Angel T-Shirt","http://www.amazon.com//dp/B0DHJBNKDK","Visit the Disney Store","1","489","$22.99","Clothing, Shoes &amp; Jewelry","159,821","16","$368","28 ","4.7","-"
"73","Disney Mickey And Friends Retro Stay Goofy Big Vintage T-Shirt","http://www.amazon.com//dp/B0CP6LTKQP","Visit the Disney Store","1","315","$22.99","Clothing, Shoes &amp; Jewelry","222,791","16","$368","3 ","5.0","-"
"74","Disney Moana Maui Confident Pose You're Welcome Retro Logo T-Shirt","http://www.amazon.com//dp/B0CTSC28L6","Visit the Disney Store","1","264","$22.99","Clothing, Shoes &amp; Jewelry","124,831","17","$391","40 ","4.4","-"
"75","Disney Pixar Cars Dinoco Motor Oil Faded Sign T-Shirt","http://www.amazon.com//dp/B09DFC255F","Visit the Disney Store","1","257","$22.99","Clothing, Shoes &amp; Jewelry","92,129","17","$391","67 ","4.6","-"
"76","Disney Men's Cars Lightning McQueen T-Shirt","http://www.amazon.com//dp/B09DQ5YB3B","Visit the Disney Store","1","1","$14.77","Clothing, Shoes &amp; Jewelry","39,389","23","$340","330 ","4.6","-"
"77","Disney Mickey And Friends Mickey Mouse Checkerboard Stripe T-Shirt","http://www.amazon.com//dp/B08P4YNPNP","Visit the Disney Store","1","184","$22.99","Clothing, Shoes &amp; Jewelry","126,675","17","$391","51 ","4.2","-"
"78","Disney Pixar Toy Story Buzz Lightyear Retro Comic Book T-Shirt","http://www.amazon.com//dp/B07JMFBB23","Visit the Disney Store","1","240","$22.99","Clothing, Shoes &amp; Jewelry","116,581","17","$391","643 ","4.8","-"
"79","Disney Lilo &amp; Stitch with Scrump Big Shiny Birthday Crew T-Shirt","http://www.amazon.com//dp/B0CKJB1KXX","Visit the Disney Store","1","609","$22.99","Clothing, Shoes &amp; Jewelry","80,352","18","$414","70 ","4.5","-"
"80","Columbia Men's PFG Terminal Tackle Long Sleeve Shirt","http://www.amazon.com//dp/B07DQF6CWN","Visit the Columbia Store","1","300","$40.00","Clothing, Shoes &amp; Jewelry","1,087","768","$30,720","17,687 ","4.6","-"
"81","Star Wars Darth Vader I Am Your Father Dark Portrait Disney+ T-Shirt","http://www.amazon.com//dp/B08J66XH1N","Visit the STAR WARS Store","1","115","$22.99","Clothing, Shoes &amp; Jewelry","170,440","16","$368","566 ","4.7","-"
"82","Winnie The Pooh - Hundred Acre Wood Pooh Organic Honey T-Shirt","http://www.amazon.com//dp/B0D15QGLHS","Visit the Disney Store","1","223","$22.99","Clothing, Shoes &amp; Jewelry","182,182","16","$368","26 ","4.7","-"
"83","Disney The Incredibles Logo Costume T-shirt","http://www.amazon.com//dp/B007R1OJ9I","Visit the Disney Store","1","1","$10.87","Clothing, Shoes &amp; Jewelry","29,821","26","$283","3,730 ","4.5","-"
"84","Disney Lilo &amp; Stitch Hawaiian Tropical Hula Lessons Duo T-Shirt","http://www.amazon.com//dp/B0CQS2THQL","Visit the Disney Store","1","304","$22.99","Clothing, Shoes &amp; Jewelry","153,243","16","$368","20 ","4.8","-"
"85","Disney Mickey Mouse Best Dad Ever Thumbs Up Father’s Day T-Shirt","http://www.amazon.com//dp/B0BXQP2Q5B","Visit the Disney Store","1","566","$22.99","Clothing, Shoes &amp; Jewelry","131,406","17","$391","141 ","4.7","-"
"86","Disney Moana 2 Maui Pua Heihei Ready for a New Adventure T-Shirt","http://www.amazon.com//dp/B0DFVSBF9Z","Visit the Disney Store","1","608","$22.99","Clothing, Shoes &amp; Jewelry","134,069","16","$368","55 ","4.4","-"
"87","Paw Patrol Father's Day Dad Patrol T-Shirt","http://www.amazon.com//dp/B0D6C2M11W","Visit the Paw Patrol Store","1","1","$22.97","Clothing, Shoes &amp; Jewelry","91,740","17","$390","43 ","4.4","-"
"88","Disney Phineas and Ferb Character Collage T-Shirt","http://www.amazon.com//dp/B0F3DV5YBG","Visit the Disney Store","1","594","$22.99","Clothing, Shoes &amp; Jewelry","147,348","16","$368","2 ","4.5","-"
"89","Disney Pixar Cars Tow Mater Finish Graphic T-Shirt T-Shirt","http://www.amazon.com//dp/B07MT653JY","Visit the Disney Store","1","285","$22.99","Clothing, Shoes &amp; Jewelry","96,336","17","$391","437 ","4.7","-"
"90","Disney Villains Maleficent It's Not Me It's You T-Shirt","http://www.amazon.com//dp/B083K1JNQL","Visit the Disney Store","1","516","$22.99","Clothing, Shoes &amp; Jewelry","125,345","17","$391","1,067 ","4.6","-"
"91","Stay Cool Popsicle 4th July Boys Men Patriotic American Flag T-Shirt","http://www.amazon.com//dp/B0C9742B97","Visit the CAT Store","1","516","$19.99","Clothing, Shoes &amp; Jewelry","106,738","17","$340","40 ","4.3","-"
"92","Disney Frozen Official Ice Master Of Arendelle Est. 2013 T-Shirt","http://www.amazon.com//dp/B08DZ153M8","Visit the Disney Store","1","160","$22.99","Clothing, Shoes &amp; Jewelry","125,782","17","$391","191 ","4.6","-"
"93","Winnie The Pooh - Pooh Eeyore Piglet Tigger Kanga Roo Hug T-Shirt","http://www.amazon.com//dp/B0D155CDKH","Visit the Disney Store","1","326","$22.99","Clothing, Shoes &amp; Jewelry","116,109","17","$391","25 ","4.5","-"
"94","Disney Mickey Mouse Thumbs Up Best Grandpa Ever Father’s Day T-Shirt","http://www.amazon.com//dp/B0CS3VPRF6","Visit the Disney Store","1","435","$22.99","Clothing, Shoes &amp; Jewelry","149,269","16","$368","32 ","4.7","-"
"95","Disney Lilo &amp; Stitch Is 4th Grade Ready For This? Chest Logo T-Shirt","http://www.amazon.com//dp/B0CW1V89ZZ","Visit the Disney Store","1","274","$22.99","Clothing, Shoes &amp; Jewelry","236,439","16","$368","18 ","4.7","-"
"96","Disney Princess Ariel Flounder and Sebastian Collage Heart T-Shirt","http://www.amazon.com//dp/B0934R3MLK","Visit the Disney Store","1","354","$22.99","Clothing, Shoes &amp; Jewelry","151,120","16","$368","242 ","4.6","-"
"97","Disney Mickey Mouse Leaning on Name White T-Shirt","http://www.amazon.com//dp/B0C82YTZCH","Visit the Disney Store","1","366","$22.99","Clothing, Shoes &amp; Jewelry","181,226","16","$368","21 ","4.4","-"
"98","Finding Nemo - Fish Are Friends, Not Food T-Shirt","http://www.amazon.com//dp/B0C2VX4B1S","Visit the Disney Store","1","336","$22.99","Clothing, Shoes &amp; Jewelry","173,734","16","$368","36 ","4.6","-"
"99","Disney The Little Mermaid Ariel But Daddy I Love Him Comic T-Shirt","http://www.amazon.com//dp/B07TXGSRZH","Visit the Disney Store","1","1","$22.99","Clothing, Shoes &amp; Jewelry","122,597","17","$391","564 ","4.7","-"
"100","Pokémon - Pikachu Charmander Bulbasaur Squirtle Kanto Circle T-Shirt","http://www.amazon.com//dp/B0DBN56H54","Visit the Pokemon Store","1","27","$22.99","Clothing, Shoes &amp; Jewelry","104,568","17","$391","13 ","4.5","-"
